book_id,original_title,original_author,matched_book_title,matched_seq_name,matched_first_name,matched_last_name,relevance_title,relevance_author
555649,Берсерк забытого клана. Руссия магов,Алекс Нагорный,Руссия магов,Берсерк забытого клана,Алекс,Нагорный,78.673157,22.410038
680599,Зверь,Алексей Калинин,Зверь. Том 1,Зверь [Калинин],Алексей,Калинин,21.416006,15.845385
555650,Берсерк забытого клана. Архидемоны и маги,Алекс Нагорный,Архидемоны и маги,Берсерк забытого клана,Алекс,Нагорный,78.776894,22.410038
555651,Берсерк забытого клана. Элементаль,Алекс Нагорный,Элементаль,Берсерк забытого клана,Алекс,Нагорный,61.532337,22.410038
555649,Берсерк забытого клана. Руссия магов,Алекс Нагорный,Руссия магов,Берсерк забытого клана,Алекс,Нагорный,78.673157,22.410038
699883,Смертник из рода Валевских. Книга 6,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
695081,Крылья Мальгуса. Ступень вторая,Инди Видум,Ступень вторая,Крылья Мальгуса,Инди,Видум,53.971489,46.697304
681607,Крылья Мальгуса. Падение,Инди Видум,Падение,Крылья Мальгуса,Инди,Видум,41.612377,46.697304
563444,Берсерк забытого клана. Рекруты Магов Руссии,Алекс Нагорный,Рекруты магов Руссии,Берсерк забытого клана,Алекс,Нагорный,103.455353,22.410038
692902,Слово и чистота: Излом,Александр Зайцев,Слово и Чистота: Излом,Слово и Чистота,Александр,Зайцев,70.871292,13.190813
566237,Легион уходит в бой,Алекс Нагорный,Легион уходит в бой,Звездный спринт,Алекс,Нагорный,35.934303,22.410038
739497,Дельта. Книга 7. Пожиратель,Борис Романовский,Дельта. Том VII: Пожиратель,Владислав Ли-Вавилонский,Борис,Романовский,31.244942,17.721699
719602,Одарённый. Книга 3. Адъютант,Тим Волков,Бояръ-Аниме. Одаренный: адъютант,Ай да Пушкин!,Тим,Волков,35.411152,18.005241
699883,Смертник из рода Валевских. Книга 5,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
622817,Менталист. Аннигиляция,Андрей Еслер,Менталист. Аннигиляция,Выиграть у времени,Андрей,Еслер,40.869411,21.645784
645265,Бандит-6. Король,Евгений Щепетнов,Бандит,Петр Синельников,Евгений,Щепетнов,19.345823,15.114223
699883,Смертник из рода Валевских. Книга 3,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
719602,Одарённый. Книга 5. Гранд,Тим Волков,Бояръ-Аниме. Одаренный: адъютант,Ай да Пушкин!,Тим,Волков,18.622803,18.005241
647401,Я покорю Лабиринт с помощью техник массажа. Книга 7,Андрей Ткачев,Я покорю Лабиринт с помощью техник массажа. Том 2,Божественные Лабиринты,Андрей,Ткачев,70.318146,16.129101
600578,Берсерк забытого клана. Обратная сторона Войны,Алекс Нагорный,Обратная сторона войны,Берсерк забытого клана,Алекс,Нагорный,65.288467,22.410038
590866,Берсерк забытого клана. Боги и Демоны Захребетья,Алекс Нагорный,Боги и демоны Захребетья,Берсерк забытого клана,Алекс,Нагорный,83.409462,22.410038
699883,Смертник из рода Валевских. Книга 5,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
682151,Возрождение Феникса. Книга 7,Григорий Володин,Возрождение Феникса. Том 2,Возрождение Феникса,Григорий,Володин,47.133778,23.516369
725501,Коллекционер душ. Книга 1,Михаил Липарк,Коллекционер душ. Книга 1,"Короче, я попал!",Михаил,Липарк,28.560061,23.756477
660993,Берсерк забытого клана. Тени забытых пророчеств,Алекс Нагорный,Тени забытых пророчеств,Берсерк забытого клана,Алекс,Нагорный,78.544273,22.410038
725501,Коллекционер душ. Книга 4,Михаил Липарк,Коллекционер душ. Книга 1,"Короче, я попал!",Михаил,Липарк,28.560061,23.756477
587910,Берсерк забытого клана. Тайна Одинокого Бастиона,Алекс Нагорный,Тайна Одинокого бастиона,Берсерк забытого клана,Алекс,Нагорный,81.819031,22.410038
577811,Берсерк забытого клана. Рунические войны Захребетья,Алекс Нагорный,Рунические войны Захребетья,Берсерк забытого клана,Алекс,Нагорный,94.795769,22.410038
590866,Берсерк забытого клана. Боги и Демоны Захребетья,Алекс Нагорный,Боги и демоны Захребетья,Берсерк забытого клана,Алекс,Нагорный,83.409462,22.410038
693940,Тень Ворона,Сергей Орлов,Тень Ворона,Месть Чернокрылого,Сергей,Орлов,17.812212,11.175253
747471,Цитадели гордыни. Клинок клана,Алекс Каменев,Клинок клана,Цитадели гордыни,Алекс,Каменев,61.396904,20.23402
699883,Смертник из рода Валевских. Книга 4,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
720938,Одарённый. Книга 1. Ученик,Тим Волков,Бояръ-Аниме. Одаренный: ученик,Ай да Пушкин!,Тим,Волков,28.347431,18.005241
659302,Берсерк забытого клана. Варлоды и Школа Берсерка,Алекс Нагорный,Варлоды и Школа Берсерка,Берсерк забытого клана,Алекс,Нагорный,95.041077,22.410038
635709,Берсерк забытого клана. Тернии Великого Разлома,Алекс Нагорный,Тернии Великого разлома,Берсерк забытого клана,Алекс,Нагорный,77.309021,22.410038
682151,Возрождение Феникса. Книга 2,Григорий Володин,Возрождение Феникса. Том 2,Возрождение Феникса,Григорий,Володин,47.133778,23.516369
747471,Цитадели гордыни. Клинок клана,Алекс Каменев,Клинок клана,Цитадели гордыни,Алекс,Каменев,61.396904,20.23402
633691,Берсерк забытого клана. Держава Владыки,Алекс Нагорный,Держава Владыки,Берсерк забытого клана,Алекс,Нагорный,67.078117,22.410038
643232,Берсерк забытого клана. Стезя судьбы,Алекс Нагорный,Стезя судьбы,Берсерк забытого клана,Алекс,Нагорный,64.821342,22.410038
600578,Берсерк забытого клана. Обратная сторона Войны,Алекс Нагорный,Обратная сторона войны,Берсерк забытого клана,Алекс,Нагорный,65.288467,22.410038
613702,Иностранец. Друзья и враги,Игорь Шелег,Друзья и враги,Иностранец,Игорь,Шелег,38.937302,19.306835
633691,Берсерк забытого клана. Держава Владыки,Алекс Нагорный,Держава Владыки,Берсерк забытого клана,Алекс,Нагорный,67.078117,22.410038
750497,Менталист. Эмансипация,Андрей Еслер,Менталист. Эмансипация,Современный фантастический боевик,Андрей,Еслер,44.560978,21.645784
637411,Цитадели гордыни. Воплощение стихии,Алекс Каменев,Воплощение стихии,Цитадели гордыни,Алекс,Каменев,71.500847,20.23402
598274,Берсерк забытого клана. Маги Аномалии Разлома,Алекс Нагорный,Маги аномалии Разлома,Берсерк забытого клана,Алекс,Нагорный,85.614624,22.410038
682151,Возрождение Феникса. Книга 5,Григорий Володин,Возрождение Феникса. Том 2,Возрождение Феникса,Григорий,Володин,47.133778,23.516369
606138,Берсерк забытого клана. Фракталы потерянных душ,Алекс Нагорный,Фракталы потерянных душ,Берсерк забытого клана,Алекс,Нагорный,91.16156,22.410038
606138,"Книга тринадцатая. Берсерк забытого клана. Фракталы
          потерянных душ",Алекс Нагорный,Фракталы потерянных душ,Берсерк забытого клана,Алекс,Нагорный,91.16156,22.410038
637411,Цитадели гордыни. Воплощение стихии,Алекс Каменев,Воплощение стихии,Цитадели гордыни,Алекс,Каменев,71.500847,20.23402
585626,Берсерк забытого клана. Холод и тьма Порубежья,Алекс Нагорный,Холод и тьма Порубежья,Берсерк забытого клана,Алекс,Нагорный,84.78891,22.410038
577811,Берсерк забытого клана. Рунические войны Захребетья,Алекс Нагорный,Рунические войны Захребетья,Берсерк забытого клана,Алекс,Нагорный,94.795769,22.410038
382627,Где-то там…,Константин Муравьёв,Где-то там...,Миры за гранью [= Где-то там],Константин,Муравьев,31.514614,15.929102
698483,Князь Демидов. Книга 1,Евгений Бергер,Князь Демидов #01-02,Князь Демидов,Евгений,Бергер,56.886467,18.128746
617078,Ботаник,Евгений Щепетнов,Ботаник,Ботаник,Евгений,Щепетнов,41.645569,15.114223
659302,Берсерк забытого клана. Варлоды и Школа Берсерка,Алекс Нагорный,Варлоды и Школа Берсерка,Берсерк забытого клана,Алекс,Нагорный,95.041077,22.410038
598274,Берсерк забытого клана. Маги Аномалии Разлома,Алекс Нагорный,Маги аномалии Разлома,Берсерк забытого клана,Алекс,Нагорный,85.614624,22.410038
679837,Сильнейший ученик. Книга 1,Андрей Ткачев,Сильнейший ученик. Том 1,Пробуждение крови,Андрей,Ткачев,30.254719,16.129101
738192,Разлом. Книга первая,Дмитрий Найденов,Разлом. Мир меча и магии 2. Книга девятая,Разлом,Дмитрий,Найденов,34.015881,20.626951
617078,Ботаник. Поводырь,Евгений Щепетнов,Ботаник,Ботаник,Евгений,Щепетнов,41.645569,15.114223
676715,Щит рода,Мелина Боярова,Щит рода,Талисман для князя,Мелина,Боярова,21.935326,34.846371
617078,Ботаник. Изгой,Евгений Щепетнов,Ботаник,Ботаник,Евгений,Щепетнов,41.645569,15.114223
680459,Гнев Империи. Книга 4,Findroid,Гнев Империи I,Мир Стремлений. Гнев,Антон,Агафонов,31.593475,15.625153
394504,Город древних,Константин Муравьёв,Город древних,Попаданцы - боевик,Константин,Муравьев,14.81008,15.929102
642242,Оружейный Барон,Сергей Полев,Оружейный барон,Оружейный Барон,Сергей,Полев,65.411751,22.305031
681315,Дельта. Книга 1. Вернувшийся из будущего,Борис Романовский,Дельта. Вернувшийся из будущего,Владислав Ли-Вавилонский,Борис,Романовский,44.263702,17.721699
692812,Дельта. Книга 3. Создающий будущее,Борис Романовский,Дельта. Том III: Создающий будущее,Владислав Ли-Вавилонский,Борис,Романовский,58.255375,17.721699
418987,Нейтральные миры,Константин Муравьёв,Нейтральные миры,Миры Содружества (Вселенная EVE-online),Константин,Муравьев,33.511597,15.929102
647401,Я покорю Лабиринт с помощью техник массажа. Книга 1,Андрей Ткачев,Я покорю Лабиринт с помощью техник массажа. Том 2,Божественные Лабиринты,Андрей,Ткачев,70.318146,16.129101
713085,Гиблые земли,Юрий Уленгов,Гиблые земли,Дэймон Старк,Юрий,Уленгов,35.44368,19.016714
693940,Тень Ворона – 2,Сергей Орлов,Тень Ворона,Месть Чернокрылого,Сергей,Орлов,17.812212,11.175253
